Student ID,Name,Grade Level,Attendance,Academic Performance Math,Grade Math,Academic Performance English,Grade English,Academic Performance History,Grade History,Academic Performance Science,Grade Science,Extracurricular Activities,Learning Preferences,Social and Emotional Well-being,Recommendations
1,Student 1,9,76,D,B,B,B,B,F,C,B,['Drama Club'],Kinesthetic,6,To be generated
2,Student 2,12,77,F,A,C,C,F,F,A,D,['Debate Team'],Auditory,3,To be generated
3,Student 3,10,88,D,B,F,C,F,A,B,F,['Mathletes' 'Yearbook Committee'],Kinesthetic,7,To be generated
4,Student 4,9,98,D,B,A,C,B,C,B,F,['Soccer'],Kinesthetic,9,To be generated
5,Student 5,12,81,A,F,A,D,C,F,C,B,['Robotics' 'Science Club' 'Robotics'],Visual,2,To be generated
6,Student 6,12,89,F,A,C,C,A,F,F,F,['Coding Club'],Kinesthetic,10,To be generated
7,Student 7,12,87,F,A,B,C,C,C,F,B,['Robotics'],Auditory,10,To be generated
8,Student 8,12,79,D,C,D,B,A,D,C,B,['Art Club' 'Debate Team'],Visual,10,To be generated
9,Student 9,10,99,C,D,A,F,A,C,C,A,['Robotics' 'Robotics'],Visual,6,To be generated
10,Student 10,12,84,F,C,C,D,F,F,C,F,['Coding Club' 'Basketball' 'Language Club'],Kinesthetic,8,To be generated
11,Student 11,10,91,F,A,A,B,A,B,D,F,['Mathletes'],Visual,7,To be generated
12,Student 12,11,79,D,F,C,B,B,A,C,D,['Music Band'],Auditory,5,To be generated
13,Student 13,9,95,B,A,B,C,B,A,D,B,['Music Band' 'Soccer'],Auditory,4,To be generated
14,Student 14,12,88,F,D,C,D,A,C,A,D,['Chess Club'],Auditory,9,To be generated
15,Student 15,11,70,D,D,A,F,F,C,C,D,['Yearbook Committee' 'Music Band'],Auditory,8,To be generated
16,Student 16,9,97,B,B,F,F,C,D,C,D,['Chess Club' 'Language Club' 'Basketball'],Visual,10,To be generated
17,Student 17,9,79,D,F,B,B,F,A,F,C,['Science Club' 'Drama Club'],Auditory,10,To be generated
18,Student 18,9,98,D,C,C,D,F,C,C,A,['Science Club' 'Science Club'],Auditory,5,To be generated
19,Student 19,11,81,C,F,F,B,C,F,D,B,['Soccer'],Auditory,8,To be generated
20,Student 20,10,87,A,B,D,B,B,F,D,F,['Coding Club'],Kinesthetic,8,To be generated
21,Student 21,11,79,B,A,D,F,D,B,C,C,['Science Club' 'Gardening Club'],Kinesthetic,5,To be generated
22,Student 22,12,96,A,D,C,F,F,B,D,C,['Mathletes' 'Music Band'],Visual,7,To be generated
23,Student 23,12,70,B,A,B,B,B,C,C,C,['Coding Club' 'Art Club' 'Debate Team'],Auditory,3,To be generated
24,Student 24,11,92,B,A,A,F,A,D,A,F,['Language Club' 'Mathletes'],Visual,8,To be generated
25,Student 25,9,86,F,B,D,F,F,D,D,C,['Mathletes' 'Art Club'],Kinesthetic,10,To be generated
26,Student 26,10,80,C,C,F,C,F,D,D,C,['Chess Club' 'Yearbook Committee'],Kinesthetic,4,To be generated
27,Student 27,10,74,C,A,F,C,A,D,D,F,['Science Club' 'Basketball'],Visual,1,To be generated
